Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
V2+-+240_CEO_Microsoft_VSL_5,703,617,310,301,"32,00%","48,78%","13,95%",42,21,1,"0,33%","R$ 814,80"
239_IA_leva_10_anos,488,409,225,221,"36,00%","54,03%","15,38%",34,21,0,"0,00%","R$ 0,00"
231_Começando_na_IA_hoje,415,312,189,174,"43,00%","55,76%","19,66%",35,14,0,"0,00%","R$ 0,00"
V1+-+241_Como_era_criar_IAs_antes_2022_VSL_5,377,266,157,139,"44,00%","52,25%","19,14%",27,14,0,"0,00%","R$ 0,00"
V2+-+242_Sua_própria_IA_VSL_5,357,306,146,133,"37,00%","43,46%","16,78%",23,13,0,"0,00%","R$ 0,00"
V2+-+241_Como_era_criar_IAs_antes_2022_VSL_5,299,274,123,120,"29,00%","43,79%","10,83%",13,7,0,"0,00%","R$ 0,00"
AD02_209_3_formas_VSL_5,119,101,54,50,"31,00%","49,50%","12,00%",6,2,0,"0,00%","R$ 0,00"
V1+-+240_CEO_Microsoft_VSL_5,109,88,48,47,"55,00%","53,40%","31,25%",15,5,0,"0,00%","R$ 0,00"
V2_235_Estáticos_Própria_IA,61,49,35,30,"55,00%","61,22%","32,25%",10,5,0,"0,00%","R$ 0,00"
AD05_209_3_formas_VSL_5,57,51,17,17,"42,00%","33,33%","11,76%",2,0,0,"0,00%","R$ 0,00"
V1_235_Estáticos_Própria_IA,53,44,29,26,"62,00%","59,09%","30,76%",8,4,0,"0,00%","R$ 0,00"
AD04_209_3_formas_VSL_5,51,46,30,28,"51,00%","60,86%","21,42%",6,2,0,"0,00%","R$ 0,00"
V4_235_Estáticos_Própria_IA,34,26,16,15,"73,00%","57,69%","40,00%",6,3,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,17,1,14,1,"1,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1+-+242_Sua_própria_IA_VSL_5,10,9,5,5,"61,00%","55,55%","20,00%",1,0,0,"0,00%","R$ 0,00"
V5_235_Estáticos_Própria_IA,10,7,5,5,"70,00%","71,42%","40,00%",2,0,0,"0,00%","R$ 0,00"
foundation_models,10,1,2,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1+-+243_Voc%C3%AA_n%C3%A3o_precisa_mais_disso_VSL_5,6,4,4,3,"45,00%","75,00%","33,33%",1,1,0,"0,00%","R$ 0,00"
V2 - 242_Sua_própria_IA_VSL_5,6,2,1,1,"36,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1 - 241_Como_era_criar_IAs_antes_2022_VSL_5,5,3,4,3,"65,00%","100,00%","33,33%",1,0,0,"0,00%","R$ 0,00"
210+[IA]+-+Bolinhas,5,1,1,1,"100,00%","100,00%","100,00%",1,0,0,"0,00%","R$ 0,00"
239_IA_leva_10_anos_VSL_5_2_24_horas,4,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
V3+-+241_Como_era_criar_IAs_antes_2022_VSL_5,3,2,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
V1 - 240_CEO_Microsoft_VSL_5,3,1,1,1,"100,00%","100,00%","100,00%",1,0,0,"0,00%","R$ 0,00"
{{ad.name}},2,2,1,1,"72,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
rag_na_pratica,2,2,1,1,"0,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
231_Come%C3%A7ando_na_IA_hoje,1,1,1,1,"96,00%","100,00%","100,00%",1,0,0,"0,00%","R$ 0,00"
V1+-+219_Criativo_de_Curiosidade_Analisador_de_Currículos_VSL_4_revelado,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"