Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
239_IA_leva_10_anos_VSL_5_2_24_horas,4.556,3.750,1.956,1.848,"30,00%","49,28%","9,14%",171,49,0,"0,00%","R$ 0,00"
V2+-+233_3_sinais_IA_errado_VSL_5_2_24_horas,471,413,212,205,"23,00%","49,63%","7,31%",15,3,0,"0,00%","R$ 0,00"
V2 - 233_3_sinais_IA_errado_VSL_5_2_24_horas,356,288,140,131,"46,00%","45,48%","16,79%",22,6,0,"0,00%","R$ 0,00"
AD04_209_3_formas_VSL_5_2_24_horas,311,235,156,148,"49,00%","62,97%","21,85%",33,10,0,"0,00%","R$ 0,00"
AD05_209_3_formas_VSL_5_2_24_horas,128,102,56,54,"21,00%","52,94%","11,11%",6,0,0,"0,00%","R$ 0,00"
AD02_209_3_formas_VSL_5_2_24_horas,127,90,55,51,"46,00%","56,66%","17,64%",9,2,0,"0,00%","R$ 0,00"
{{ad.name}},28,21,15,12,"21,00%","57,14%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,8,3,4,2,"0,00%","66,66%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1+-+219_Criativo_de_Curiosidade_Analisador_de_Currículos_VSL_4_revelado,5,1,1,1,"6,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04- 209 [IA] - 3 formas,2,2,1,1,"99,00%","50,00%","100,00%",1,0,0,"0,00%","R$ 0,00"
224_[V1]_Termos_técnicos_VSL_2,2,1,1,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
229_[V6]_Estáticos_Promessa_VSL_2,1,1,1,1,"38,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD02-+209+[IA]+-+3+formas,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
239_IA_leva_10_anos_VSL_5_2_24,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
211_[VSL_V3]_Oráculo_VSL_Solution_Aware,1,1,1,1,"67,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"